track,artist,charted,energy,tempo,speechiness,danceability,mode,key,liveness,valence,loudness,time_signature,duration_ms,acousticness,instrumentalness
What You Know,Two Door Cinema Club,False,,,,,,,,,,,,,
Under The Sheets,Ellie Goulding,False,,,,,,,,,,,,,
Copperhead Road,Steve Earle,False,,,,,,,,,,,,,
Hula Hoop,OMI,False,,,,,,,,,,,,,
You Know You Like It,DJ Snake,False,,,,,,,,,,,,,
Get Back (Asap),Alexandra Stan,False,,,,,,,,,,,,,
Haven't You Heard,Patrice Rushen,False,,,,,,,,,,,,,
Wanna Be Startin' Somethin',Michael Jackson,False,,,,,,,,,,,,,
Rage Valley,Knife Party,False,,,,,,,,,,,,,
Flashing Lights,Chase & Status,False,,,,,,,,,,,,,
Au Seve,Julio Bashmore,False,,,,,,,,,,,,,
If You C Jordan,Something Corporate,False,,,,,,,,,,,,,
Hearts Burst into Fire,Bullet For My Valentine,False,,,,,,,,,,,,,
One Armed Scissor,At the Drive-In,False,,,,,,,,,,,,,
I Will Follow You into the Dark,Death Cab for Cutie,False,,,,,,,,,,,,,
Until the Day I Die,Story Of The Year,False,,,,,,,,,,,,,
Blowin' in the Wind,Bob Dylan,False,,,,,,,,,,,,,
Today,The Smashing Pumpkins,False,,,,,,,,,,,,,
I Am One,The Smashing Pumpkins,False,,,,,,,,,,,,,
Can't Change Me,Chris Cornell,False,,,,,,,,,,,,,
Let It Slide,Mudhoney,False,,,,,,,,,,,,,
Disco Inferno,50 Cent,False,,,,,,,,,,,,,
Come Closer (feat. Drake),Wizkid,False,,,,,,,,,,,,,
Look At Me Now (feat. Lil' Wayne & Busta Rhymes),Chris Brown,False,,,,,,,,,,,,,
Wait (The Whisper Song),Ying Yang Twins,False,,,,,,,,,,,,,
My Way (feat. Monty),Fetty Wap,False,,,,,,,,,,,,,
New Patek,Lil Uzi Vert,False,,,,,,,,,,,,,
Real Friends,Kanye West,False,,,,,,,,,,,,,
Run Me Dry,Bryson Tiller,False,,,,,,,,,,,,,
Daydreaming,Radiohead,False,,,,,,,,,,,,,
X,Nicky Jam,False,,,,,,,,,,,,,
Grass Ain't Greener,Chris Brown,False,,,,,,,,,,,,,
