track,artist,charted,energy,tempo,speechiness,danceability,mode,key,liveness,valence,loudness,time_signature,duration_ms,acousticness,instrumentalness
Livin' On A Prayer,Bon Jovi,True,,,,,,,,,,,,,
Californication,Red Hot Chili Peppers,True,,,,,,,,,,,,,
Clocks,Coldplay,True,,,,,,,,,,,,,
Numb,Linkin Park,True,,,,,,,,,,,,,
All Day and All of the Night,The Kinks,True,,,,,,,,,,,,,
Free Bird,Lynyrd Skynyrd,True,,,,,,,,,,,,,
Jeremy,Pearl Jam,True,,,,,,,,,,,,,
Keep on Loving You,REO Speedwagon,True,,,,,,,,,,,,,
Alone,Heart,True,,,,,,,,,,,,,
Chasing Cars,Snow Patrol,True,,,,,,,,,,,,,
The Passenger,Iggy Pop,True,,,,,,,,,,,,,
Rosanna,TOTO,True,,,,,,,,,,,,,
Smells Like Teen Spirit,Nirvana,True,,,,,,,,,,,,,
Sweet Home Alabama,Lynyrd Skynyrd,True,,,,,,,,,,,,,
Hard Times,Paramore,True,,,,,,,,,,,,,
Vertigo,U2,True,,,,,,,,,,,,,
Bombtrack,Rage Against The Machine,True,,,,,,,,,,,,,
Loser,Beck,True,,,,,,,,,,,,,
Let's Have A Party,Wanda Jackson,True,,,,,,,,,,,,,
Glory Days,Bruce Springsteen,True,,,,,,,,,,,,,
Best of You,Foo Fighters,True,,,,,,,,,,,,,
Livin' On A Prayer,Bon Jovi,True,,,,,,,,,,,,,
Walk on the Wild Side,Lou Reed,True,,,,,,,,,,,,,
Boom Boom,John Lee Hooker,True,,,,,,,,,,,,,
Bye Bye Love,The Everly Brothers,True,,,,,,,,,,,,,
Scar Tissue,Red Hot Chili Peppers,True,,,,,,,,,,,,,
Be-Bop-A-Lula,Gene Vincent,True,,,,,,,,,,,,,
Two Princes,Spin Doctors,True,,,,,,,,,,,,,
Black Night,Deep Purple,True,,,,,,,,,,,,,
Proud Mary,Creedence Clearwater Revival,True,,,,,,,,,,,,,
Bark at the Moon,Ozzy Osbourne,True,,,,,,,,,,,,,
In The Air Tonight,Phil Collins,True,,,,,,,,,,,,,
I'm Walkin',Fats Domino,True,,,,,,,,,,,,,
Black,Pearl Jam,True,,,,,,,,,,,,,
Walk Of Life,Dire Straits,True,,,,,,,,,,,,,
R U Mine?,Arctic Monkeys,True,,,,,,,,,,,,,
Smooth (feat. Rob Thomas),Santana,True,,,,,,,,,,,,,
Happy Together,The Turtles,True,,,,,,,,,,,,,
Rave On,Buddy Holly,True,,,,,,,,,,,,,
Blue Suede Shoes,Elvis Presley,True,,,,,,,,,,,,,
With Arms Wide Open,Creed,True,,,,,,,,,,,,,
Welcome To The Jungle,Guns N' Roses,True,,,,,,,,,,,,,
Livin' On The Edge,Aerosmith,True,,,,,,,,,,,,,
High School Confidential,Jerry Lee Lewis,True,,,,,,,,,,,,,
Smoke on the Water,Deep Purple,True,,,,,,,,,,,,,
Rockin' All Over The World,Status Quo,True,,,,,,,,,,,,,
Black Widow,Iggy Azalea,True,,,,,,,,,,,,,
Wide Awake,Katy Perry,True,,,,,,,,,,,,,
Unchained Melody,The Righteous Brothers,True,,,,,,,,,,,,,
Lego House,Ed Sheeran,True,,,,,,,,,,,,,
People Help the People,Birdy,True,,,,,,,,,,,,,
Knock You Down,Keri Hilson,True,,,,,,,,,,,,,
Misery,Maroon 5,True,,,,,,,,,,,,,
Whistle,Flo Rida,True,,,,,,,,,,,,,
Get Here,Oleta Adams,True,,,,,,,,,,,,,
Born This Way,Lady Gaga,True,,,,,,,,,,,,,
Yoü And I,Lady Gaga,True,,,,,,,,,,,,,
This Is How We Do,Katy Perry,True,,,,,,,,,,,,,
You Are The Sunshine Of My Life,Stevie Wonder,True,,,,,,,,,,,,,
Where The Hood At,DMX,True,,,,,,,,,,,,,
Hometown Glory,Adele,True,,,,,,,,,,,,,
Drops of Jupiter (Tell Me),Train,True,,,,,,,,,,,,,
If Tomorrow Never Comes,Ronan Keating,True,,,,,,,,,,,,,
The First Time Ever I Saw Your Face,Roberta Flack,True,,,,,,,,,,,,,
Red Red Wine,UB40,True,,,,,,,,,,,,,
Chandelier,Sia,True,,,,,,,,,,,,,
Weak,SWV,True,,,,,,,,,,,,,
Your Song,Elton John,True,,,,,,,,,,,,,
Just The Way You Are,Barry White,True,,,,,,,,,,,,,
When I Was Your Man,Bruno Mars,True,,,,,,,,,,,,,
Because Of You,Ne-Yo,True,,,,,,,,,,,,,
There You'll Be,Faith Hill,True,,,,,,,,,,,,,
human,Christina Perri,True,,,,,,,,,,,,,
Domino,Jessie J,True,,,,,,,,,,,,,
How Am I Supposed to Live Without You,Michael Bolton,True,,,,,,,,,,,,,
Kiss Me,Sixpence None The Richer,True,,,,,,,,,,,,,
Thinking out Loud,Ed Sheeran,True,,,,,,,,,,,,,
